Point.Forecast,Lo.80,Hi.80,Lo.95,Hi.95
10171511.34213021,9366415.388148183,10976607.296112237,8940223.33443063,11402799.349829791
8872997.853620233,8030370.778669155,9715624.928571312,7584310.9496323895,10161684.757608077
7042066.481565827,6195949.56110762,7888183.4020240335,5748042.319453161,8336090.643678492
6335204.628065189,5487360.607138581,7183048.648991798,5038539.093723142,7631870.162407237
6165462.3118137615,5315847.842480784,7015076.781146739,4866089.110292131,7464835.513335392
8219505.497892495,7368056.458656982,9070954.537128009,6917326.563825437,9521684.431959555
9562638.74865108,8709343.495495103,10415934.001807056,8257636.274049915,10867641.223252244
10051940.713021912,9196801.854812182,10907079.57123164,8744118.687803961,11359762.738239862
8802383.918637449,7945405.660160053,9659362.177114844,7491748.773468101,10113019.063806796
6274670.908550551,5415857.30179611,7133484.515304992,4961228.840414692,7588112.976686411
6350973.672167888,5490328.650556264,7211618.693779511,5034730.696712077,7667216.647623699
8374332.266677131,7511859.719596946,9236804.813757315,7055294.332207955,9693370.201146306
10137274.462770015,9251235.51858028,11023313.40695975,8782194.83413736,11492354.09140267
8769240.576329041,7877408.790852658,9661072.361805424,7405301.561468598,10133179.591189485
7205509.334825141,6310925.093812376,8100093.575837906,5837360.80248183,8573657.867168453
6480710.4916747,5583696.080420397,7377724.902929002,5108845.334672832,7852575.648676568
6384480.5679413155,5485032.758089785,7283928.3777928455,5008893.848936931,7760067.2869457
8418702.37252292,7516813.758561649,9320590.98648419,7039382.765761986,9798021.979283854
9457175.440036863,8552849.43046402,10361501.449609706,8074128.158367485,10840222.721706241
10052859.353028178,9146102.219469646,10959616.48658671,8666093.988074437,11439624.71798192
8661693.338656757,7752511.6303676665,9570875.046945848,7271219.906640023,10052166.770673491
6400388.994661819,5488789.18308128,7311988.806242358,5006217.392794135,7794560.596529503
6409940.563945172,5495929.050312895,7323952.077577449,5012080.582077859,7807800.545812486
8361139.099359807,7444722.230407002,9277555.96831261,6959600.4439806305,9762677.754738983
10644295.482250635,9687605.150721962,11600985.813779308,9181163.881020792,12107427.083480477
8905397.789723478,7939821.552150478,9870974.027296478,7428676.36793149,10382119.211515466
7372977.342262952,6403559.619364934,8342395.065160969,5890380.875652948,8855573.808872955
6748906.4594204165,5776164.673141971,7721648.245698862,5261226.276569,8236586.642271833
6603709.503872267,5627639.38534499,7579779.622399544,5110939.076108605,8096479.931635929
8628970.354227226,7649560.9836937385,9608379.724760715,7131092.981223561,10126847.727230892
9618243.157238767,8635500.824348262,10600985.490129272,8115268.4581834525,11121217.85629408
